sku,slug,name,brand,category,line,business_model,price_npr,cost_npr,daraz_price_npr,india_list_inr,margin_pct,landed_est_npr,price_confidence,source_url,target_persona,content_angle,b2b_only,stock_priority
ETP-001,ikonic-pedicure-station-royal-black,Ikonic Pedicure Station Royal - Black,Ikonic,Salon Furniture & Equipment,Profit,B2B,464640,232320,,200000,50.0,232320,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-2013c-62-pedicure-station,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-002,autumn-electric-bed,Autumn Electric Bed,Ikonic,Salon Furniture & Equipment,Profit,B2B,436760,218380,,188000,50.0,218381,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/autumn-electric-bed,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-003,ikonic-electrical-bed-calypso,Ikonic Electrical Bed Calypso,Ikonic,Salon Furniture & Equipment,Profit,B2B,269490,134745,,116000,50.0,134746,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/calypso-electric-facial-massage-chair-beige,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-004,charmaine-shampoo-bed-with-pedicure-basin,Charmaine Shampoo Bed With Pedicure Basin,Ikonic,Salon Furniture & Equipment,Profit,B2B,195150,97575,,84000,50.0,97574,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/charmaine-shampoo-bed-with-pedicure-basin-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-005,ikonic-barber-chair-felix,Ikonic Barber Chair Felix,Ikonic,Salon Furniture & Equipment,Profit,B2B,195150,97575,,84000,50.0,97574,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-8781-barber-chair-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-006,ikonic-barber-chair-maverick,Ikonic Barber Chair Maverick,Ikonic,Salon Furniture & Equipment,Profit,B2B,185860,92930,,80000,50.0,92928,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-8779-1-barber-chair-green,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-007,ikonic-barber-chair-bruno,Ikonic Barber Chair Bruno,Ikonic,Salon Furniture & Equipment,Profit,B2B,184930,92465,,79600,50.0,92463,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-8777-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-008,aoi-clamazone,AOI CLAMAZONE,Ikonic,Salon Furniture & Equipment,Profit,B2B,166340,83170,,71600,50.0,83171,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/aoi-clamazone,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-009,ikonic-shampoo-station-solimo,Ikonic Shampoo Station Solimo,Ikonic,Salon Furniture & Equipment,Profit,B2B,148680,74340,,64000,50.0,74342,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/shampoo-station-chair-ik-1254,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-010,ikonic-iku-micro-mist,Ikonic IKU MICRO MIST,Ikonic,Salon Furniture & Equipment,Profit,B2B,144040,72020,,62000,50.0,72019,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/iku-micro-mist-white,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-011,ikonic-shampoo-station-imperio,Ikonic Shampoo Station Imperio,Ikonic,Salon Furniture & Equipment,Profit,B2B,143110,71555,,61600,50.0,71555,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-imperio-shampoo-basin-chair-brown-ik-583-1,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-012,ikonic-shampoo-station-kennedy,Ikonic Shampoo Station Kennedy,Ikonic,Salon Furniture & Equipment,Profit,B2B,137530,68765,,59200,50.0,68767,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ik-020-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-013,ikonic-shampoo-station-george,Ikonic Shampoo Station George,Ikonic,Salon Furniture & Equipment,Profit,B2B,135670,67835,,58400,50.0,67837,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/salon-shampoo-station-chair-ik-002,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
ETP-014,ikonic-shampoo-chair-joseph,Ikonic Shampoo Chair Joseph,Ikonic,Salon Furniture & Equipment,Profit,B2B,127310,63655,,54800,50.0,63656,NO-NEPAL-LISTING,https://www.ikonicworld.com/products/ikonic-joseph-shampoo-chair-ik-78201-black,Salon / parlour owner fitting or upgrading a floor,Payback maths on camera: chair cost vs monthly chair revenue,true,1
